Adding 0.5:
4503599627370497.000	4503599627370498.000	1.000

(x+y)+z:	1.000
x+(y+z):	0.000

Possible bug! f=1433.000000, bad_round=1434.000, slow_round=1433.000
Possible bug! f=1435.000000, bad_round=1436.000, slow_round=1435.000
Possible bug! f=1437.000000, bad_round=1438.000, slow_round=1437.000
Possible bug! f=1439.000000, bad_round=1440.000, slow_round=1439.000
Possible bug! f=1441.000000, bad_round=1442.000, slow_round=1441.000
Possible bug! f=1443.000000, bad_round=1444.000, slow_round=1443.000
Possible bug! f=1445.000000, bad_round=1446.000, slow_round=1445.000
Possible bug! f=1447.000000, bad_round=1448.000, slow_round=1447.000
Possible bug! f=1449.000000, bad_round=1450.000, slow_round=1449.000
Possible bug! f=1451.000000, bad_round=1452.000, slow_round=1451.000
Possible bug! f=1453.000000, bad_round=1454.000, slow_round=1453.000
Possible bug! f=1455.000000, bad_round=1456.000, slow_round=1455.000
Possible bug! f=1457.000000, bad_round=1458.000, slow_round=1457.000
Possible bug! f=1459.000000, bad_round=1460.000, slow_round=1459.000
Possible bug! f=1461.000000, bad_round=1462.000, slow_round=1461.000
Possible bug! f=1463.000000, bad_round=1464.000, slow_round=1463.000
Possible bug! f=1465.000000, bad_round=1466.000, slow_round=1465.000
Possible bug! f=1467.000000, bad_round=1468.000, slow_round=1467.000
Possible bug! f=1469.000000, bad_round=1470.000, slow_round=1469.000
Possible bug! f=1471.000000, bad_round=1472.000, slow_round=1471.000
Possible bug! f=1473.000000, bad_round=1474.000, slow_round=1473.000
Possible bug! f=1475.000000, bad_round=1476.000, slow_round=1475.000
Possible bug! f=1477.000000, bad_round=1478.000, slow_round=1477.000
Possible bug! f=1479.000000, bad_round=1480.000, slow_round=1479.000
Possible bug! f=1481.000000, bad_round=1482.000, slow_round=1481.000
Possible bug! f=1483.000000, bad_round=1484.000, slow_round=1483.000
Possible bug! f=1485.000000, bad_round=1486.000, slow_round=1485.000
Possible bug! f=1487.000000, bad_round=1488.000, slow_round=1487.000
Possible bug! f=1489.000000, bad_round=1490.000, slow_round=1489.000
Possible bug! f=1491.000000, bad_round=1492.000, slow_round=1491.000
Possible bug! f=1493.000000, bad_round=1494.000, slow_round=1493.000
Possible bug! f=1495.000000, bad_round=1496.000, slow_round=1495.000
Possible bug! f=1497.000000, bad_round=1498.000, slow_round=1497.000
Possible bug! f=1499.000000, bad_round=1500.000, slow_round=1499.000
Possible bug! f=1501.000000, bad_round=1502.000, slow_round=1501.000
Possible bug! f=1503.000000, bad_round=1504.000, slow_round=1503.000
Possible bug! f=1505.000000, bad_round=1506.000, slow_round=1505.000
Possible bug! f=1507.000000, bad_round=1508.000, slow_round=1507.000
Possible bug! f=1509.000000, bad_round=1510.000, slow_round=1509.000
Possible bug! f=1511.000000, bad_round=1512.000, slow_round=1511.000
